,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
44467,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.0,21.75,18,1,10,57
44470,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.55,1,1,9,13
44471,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,7.45,3,1,8,49
44472,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.0,6.25,24,1,8,19
44475,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,11.05,5,1,6,58
44496,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.2,28.95,26,2,9,18
44498,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.7,15.45,10,2,7,43
44508,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.1,9.65,9,2,3,3
44512,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,10.05,6,2,1,0
44514,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.55,1,2,0,0
44521,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.65,2,3,8,45
44522,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.3,5.75,3,3,8,35
44524,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.5,29.35,25,3,7,40
44542,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.8,20.45,18,4,10,38
44543,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.7,18.25,24,4,10,32
44548,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.5,7.25,14,4,7,38
44555,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.6,11.85,8,4,2,23
45400,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.5,24.65,25,1,10,50
45405,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,3.75,22,1,8,34
45406,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.4,19.95,24,1,7,54
45408,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.6,7.75,12,1,6,59
45418,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.6,30.95,29,2,11,27
45421,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.8,17.75,15,2,8,40
45422,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,5.75,2,2,7,42
45423,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.2,10.25,10,2,7,27
45428,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.85,0,2,5,45
45441,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.3,29.25,24,3,11,0
45444,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.2,28.85,25,3,9,32
45460,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-08-2023,22300162,CHI,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,7.15,1,4,10,49
45489,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,7.25,2,1,10,42
45493,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,23.5,16.85,26,1,9,47
45496,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,4.75,0,1,7,55
45497,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.7,21.95,16,1,7,22
45498,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.05,1,1,6,57
45512,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.8,14.75,9,2,10,49
45516,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.3,16.55,18,2,7,49
45526,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.0,15.25,10,2,1,38
45531,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.8,24.55,25,3,10,29
45532,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.6,3.05,15,3,9,55
45547,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.7,10.95,10,3,0,11
45549,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,6.85,23,3,0,3
45560,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-6.0,16.65,12,4,6,42
45561,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.9,23.65,18,4,5,39
45563,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,3.45,23,4,4,8
45566,2024,2023-24,1610612756,Phoenix Suns,203078,Bradley Beal,G,SG,11-12-2023,22300185,PHX,OKC,Missed Shot,False,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,11.15,7,4,3,12
