,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
45395,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,11-05-2023,22300140,DET,PHX,Made Shot,True,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,7.95,2,4,2,1
46213,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,12-12-2023,22300308,PHX,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,5.65,22,2,8,27
46440,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,12-15-2023,22300333,PHX,NYK,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,12.75,7,4,2,0
46711,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,12-22-2023,22300387,SAC,PHX,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,8.0,16.65,13,4,2,47
46713,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,12-22-2023,22300387,SAC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.2,7.95,9,4,1,31
47077,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-01-2024,22300456,PHX,POR,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.25,1,2,8,42
47083,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-01-2024,22300456,PHX,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,25.95,25,2,5,43
47114,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-01-2024,22300456,PHX,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.7,9.95,15,4,11,12
47119,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-01-2024,22300456,PHX,POR,Made Shot,True,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.3,9.35,5,4,7,53
47126,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-01-2024,22300456,PHX,POR,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.0,24.95,24,4,1,56
47128,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-01-2024,22300456,PHX,POR,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.3,12.95,7,4,0,39
47154,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.4,10.35,6,2,10,46
47155,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.15,0,2,10,27
47159,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.65,1,2,8,33
47166,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,5.85,4,2,5,43
47197,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,6.75,22,4,8,53
47200,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,4.95,0,4,7,43
47206,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-03-2024,22300473,PHX,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.0,6.55,24,4,2,3
47270,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-05-2024,22300489,PHX,MIA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.4,4.45,15,3,2,58
47271,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-05-2024,22300489,PHX,MIA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.2,10.55,5,3,2,2
47518,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-11-2024,22300531,LAL,PHX,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,6.55,3,2,5,4
47519,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-11-2024,22300531,LAL,PHX,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.4,14.65,10,2,4,28
47545,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,01-11-2024,22300531,LAL,PHX,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,10.85,8,3,1,7
48518,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,02-04-2024,22300705,WAS,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,4.05,23,1,1,16
48536,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,02-04-2024,22300705,WAS,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.2,16.15,11,2,2,5
48538,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,02-04-2024,22300705,WAS,PHX,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.95,0,2,0,16
48562,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,02-04-2024,22300705,WAS,PHX,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.6,6.45,2,3,2,13
48567,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,02-04-2024,22300705,WAS,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.9,6.25,24,4,10,7
48568,2024,2023-24,1610612756,Phoenix Suns,1629626,Bol Bol,F,PF,02-04-2024,22300705,WAS,PHX,Missed Shot,False,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.5,26.85,21,4,9,51
