,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
44562,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.6,12.65,9,1,11,13
44563,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,8.45,4,1,10,49
44565,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.7,17.45,24,1,10,4
44571,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.1,8.65,4,1,7,8
44580,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.7,6.65,4,1,1,35
44584,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.0,12.35,9,2,11,31
44585,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.7,5.15,14,2,11,26
44589,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.1,28.95,25,2,10,8
44602,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.6,8.65,4,2,1,51
44607,2024,2023-24,1610612756,Phoenix Suns,1626164,Devin Booker,G,PG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.4,6.85,11,3,10,16
