,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
44473,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,7.45,2,1,7,57
44477,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,8.9,33.65,29,1,5,42
44503,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.05,2,2,5,48
44518,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.0,13.15,15,3,10,11
44530,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.0,22.15,25,3,4,17
44539,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.2,31.65,26,3,0,7
44540,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,7.65,3,3,0,3
44558,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-10-2023,22300015,PHX,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.0,32.05,27,4,0,17
44564,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.7,26.85,26,1,10,26
44568,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,7.75,2,1,8,40
44575,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.4,32.95,28,1,4,22
44600,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.0,6.35,5,2,3,10
44606,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,8.95,3,3,11,38
44614,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,34.05,28,3,6,35
44617,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.9,4.35,22,3,5,28
44641,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.0,14.85,9,4,4,17
44656,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-21-2023,22300041,PHX,POR,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.45,1,1,7,22
44659,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-21-2023,22300041,PHX,POR,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.05,0,1,5,8
44673,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-21-2023,22300041,PHX,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.4,25.45,25,2,6,17
44707,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-21-2023,22300041,PHX,POR,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.2,12.05,7,4,10,33
44710,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-21-2023,22300041,PHX,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,8.15,3,4,8,4
44730,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.3,31.25,26,1,7,32
44739,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.45,1,1,3,17
44744,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Made Shot,True,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.1,13.85,9,2,10,58
44745,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.2,12.55,7,2,10,44
44748,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.75,1,2,7,39
44750,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.6,26.75,26,2,6,15
44763,2024,2023-24,1610612756,Phoenix Suns,1628960,Grayson Allen,G,SG,11-24-2023,22300044,MEM,PHX,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.6,28.85,28,2,0,3
