,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
44479,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.5,30.35,25,1,5,10
44504,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,6.45,3,2,5,20
44509,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,6.25,23,2,2,50
44511,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.7,10.05,5,2,1,24
44519,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.1,20.55,26,3,9,51
44520,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,7.85,3,3,9,9
44551,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,5.85,1,4,4,48
44552,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-10-2023,22300015,PHX,LAL,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,7.15,3,4,4,29
44566,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,5.75,2,1,9,32
44570,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.9,29.95,24,1,7,38
44573,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.35,2,1,6,0
44598,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,9.85,4,2,5,20
44609,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.95,2,3,9,20
44612,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.2,5.25,6,3,7,34
44639,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-17-2023,22300035,UTA,PHX,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,10.45,8,4,5,23
44647,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-21-2023,22300041,PHX,POR,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.0,19.95,18,1,11,16
44650,2024,2023-24,1610612756,Phoenix Suns,203994,Jusuf Nurkic,C,C,11-21-2023,22300041,PHX,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.8,32.45,27,1,10,7
