,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
44468,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.3,18.05,13,1,10,38
44474,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.9,6.55,12,1,7,20
44476,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,7.45,2,1,6,30
44478,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.1,22.55,17,1,5,34
44483,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.5,23.25,26,1,3,22
44485,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.4,20.55,15,1,1,31
44486,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-5.0,20.35,15,1,1,25
44488,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.4,6.95,3,1,0,22
44501,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.9,8.85,16,2,6,28
44502,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-4.8,13.15,9,2,6,23
44507,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.7,14.95,9,2,3,31
44510,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.6,18.35,14,2,2,0
44513,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.0,14.05,9,2,0,55
44517,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.5,22.45,18,3,10,26
44523,2024,2023-24,1610612756,Phoenix Suns,201142,Kevin Durant,F,PF,11-10-2023,22300015,PHX,LAL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.9,29.45,27,3,8,5
