,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
48779,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-10-2024,22300757,GSW,PHX,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,23.75,26,1,1,22
48785,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-10-2024,22300757,GSW,PHX,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.8,16.85,25,2,9,44
48827,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-10-2024,22300757,GSW,PHX,Missed Shot,False,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.8,11.15,6,3,2,25
48876,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.1,26.45,21,1,0,0
48878,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.9,29.15,25,2,10,56
48884,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.2,21.25,24,2,5,41
48921,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.5,28.85,25,4,10,15
48927,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,3.25,22,4,7,7
48932,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,4.75,1,4,3,31
48937,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-13-2024,22300774,PHX,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,12.05,23,4,0,47
48951,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-14-2024,22300787,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.4,29.45,25,1,5,24
48964,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-14-2024,22300787,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,22.15,25,2,10,34
48975,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-14-2024,22300787,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.5,24.15,26,2,3,18
48977,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-14-2024,22300787,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,2.55,23,2,1,11
48980,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-14-2024,22300787,PHX,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.5,21.15,25,3,10,42
48988,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-14-2024,22300787,PHX,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,6.85,22,3,6,24
49034,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,7.85,23,1,1,58
49035,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.3,11.15,6,1,0,34
49037,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.8,32.85,28,2,11,26
49038,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.45,2,2,11,20
49043,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.4,28.15,26,2,9,1
49052,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.5,18.35,26,2,3,16
49054,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,24.0,14.15,25,2,2,13
49060,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.4,27.85,27,3,9,5
49068,2024,2023-24,1610612756,Phoenix Suns,1626220,Royce O'Neale,F,SF,02-22-2024,22300796,DAL,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,28.75,27,3,5,3
